,Latitude,Longitude,TVD_FT,Vintage,LateralLength_FT,WellsPerSectionSameZone,Payzone_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,CONDENSATE,DRY GAS,OIL,WET GAS,1ST BONE SPRING,2ND BONE SPRING,2ND BONE SPRING SAND,3RD BONE SPRING,3RD BONE SPRING SAND,LOWER AVALON,MIDDLE AVALON,UPPER AVALON,WOLFCAMP A LOWER,WOLFCAMP A UPPER,WOLFCAMP B LOWER,WOLFCAMP B UPPER,WOLFCAMP C,WOLFCAMP D,CHILD,CO-COMPLETED,PARENT,STANDALONE,EURWH_MBOE,OilEURWH_MBBL,GasEURWH_BCF
21,31.591865,-103.693763,10698.0,2021,9962.0,3.0,107.0,92.21,2.58,174.73,0.082,0.062,0.24,0.7,0.2,6.69,0.048,5.2,2.67,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,620,373,1.5
22,32.079999,-104.099328,6756.0,2011,4219.0,1.0,355.0,68.37,2.56,613.65,0.098,0.078,0.11,0.82,0.26,27.58,0.064,22.7,2.39,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,571,95,2.9
23,32.677644,-103.89904,8836.0,2011,3644.0,4.0,405.0,77.77,2.59,70.5,0.067,0.057,0.15,0.79,0.4,23.28,0.03,12.1,1.41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,408,296,0.7
24,32.443059,-103.586966,11981.0,2014,4362.0,1.0,279.0,72.83,2.59,9.82,0.079,0.065,0.16,0.78,0.65,18.15,0.018,5.1,0.64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,171,127,0.3
25,32.32702,-103.550401,11119.0,2013,4126.0,1.0,583.0,52.13,2.6,465.34,0.061,0.055,0.09,0.87,0.26,31.95,0.043,25.3,1.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335,273,0.4
26,32.614582,-104.035935,8388.0,2013,3909.0,3.0,437.0,66.27,2.6,148.5,0.066,0.057,0.13,0.82,0.31,24.93,0.03,13.1,0.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,270,155,0.7
28,32.202627,-103.964499,8817.0,2017,4584.0,5.0,374.0,73.39,2.58,57.16,0.077,0.064,0.16,0.77,0.44,24.09,0.03,11.2,1.57,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,923,500,2.5
29,32.181734,-103.699469,9134.0,2016,4695.0,7.0,467.0,82.16,2.51,266.69,0.121,0.098,0.17,0.73,0.21,45.58,0.083,38.6,3.17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1196,257,5.6
30,32.414035,-103.481189,10592.0,2022,9971.0,2.0,389.0,74.85,2.57,85.49,0.08,0.068,0.15,0.78,0.25,26.52,0.05,19.6,2.02,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,596,365,1.4
31,32.362984,-103.836764,10923.0,2019,12719.0,4.0,415.0,76.58,2.58,8.56,0.078,0.065,0.18,0.76,0.76,26.94,0.012,4.9,0.46,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2599,1804,4.8
32,32.151651,-103.753455,10467.0,2015,4201.0,4.0,472.0,74.17,2.58,20.71,0.076,0.064,0.17,0.77,0.51,30.24,0.028,13.3,1.27,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,904,480,2.5
33,32.238584,-103.622383,11085.0,2012,4463.0,2.0,481.0,76.26,2.56,28.21,0.088,0.074,0.16,0.77,0.38,35.8,0.044,21.2,2.11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,753,566,1.1
34,32.092653,-103.623819,11002.0,2019,4654.0,3.0,713.0,54.48,2.6,173.33,0.063,0.053,0.16,0.78,0.41,37.6,0.032,23.1,1.65,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,779,470,1.9
35,32.244123,-103.519042,10860.0,2023,7797.0,5.0,401.0,73.2,2.55,45.77,0.095,0.08,0.18,0.74,0.36,32.06,0.049,19.6,2.45,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3010,1960,6.3
36,32.247454,-103.501578,11960.0,2022,7735.0,4.0,198.0,69.01,2.58,262.87,0.078,0.064,0.15,0.78,0.31,12.79,0.045,8.9,2.05,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1130,636,3.0
37,32.335963,-103.50129,10248.0,2022,8550.0,3.0,441.0,70.49,2.58,96.42,0.074,0.065,0.14,0.81,0.27,28.69,0.045,19.7,1.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1131,701,2.6
38,32.105732,-103.640397,12187.0,2022,9973.0,3.0,257.0,49.83,2.63,297.36,0.044,0.039,0.13,0.83,0.4,9.99,0.025,6.5,1.06,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,895,546,2.1
39,32.063896,-104.064788,9553.0,2022,9836.0,1.0,106.0,82.16,2.57,37.25,0.084,0.068,0.18,0.75,0.5,7.25,0.037,3.9,2.54,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015,1092,5.5
