,Latitude,Longitude,TVD_FT,Vintage,LateralLength_FT,WellsPerSectionSameZone,Payzone_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,CONDENSATE,DRY GAS,OIL,WET GAS,1ST BONE SPRING,2ND BONE SPRING,2ND BONE SPRING SAND,3RD BONE SPRING,3RD BONE SPRING SAND,LOWER AVALON,MIDDLE AVALON,UPPER AVALON,WOLFCAMP A LOWER,WOLFCAMP A UPPER,WOLFCAMP B LOWER,WOLFCAMP B UPPER,WOLFCAMP C,WOLFCAMP D,CHILD,CO-COMPLETED,PARENT,STANDALONE,EURWH_MBOE,OilEURWH_MBBL,GasEURWH_BCF
5020,31.775153,-103.939843,10073.0,2015,7136.0,2.0,156.0,77.45,2.53,139.38,0.108,0.082,0.2,0.71,0.33,12.79,0.062,9.6,2.91,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1234,738,3.0
5021,31.839156,-103.94426,9902.0,2013,4811.0,1.0,168.0,58.07,2.55,82.0,0.092,0.063,0.18,0.72,0.42,10.68,0.036,6.1,2.75,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1248,644,3.6
5022,31.742548,-104.056032,9577.0,2015,4620.0,2.0,185.0,81.92,2.57,169.83,0.081,0.066,0.19,0.75,0.35,12.16,0.044,8.2,2.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1436,459,5.9
5023,31.768534,-103.992407,9882.0,2016,4759.0,2.0,138.0,69.44,2.57,163.63,0.085,0.072,0.17,0.76,0.44,9.97,0.048,6.6,2.39,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1123,565,3.4
5024,31.782221,-103.99585,9739.0,2015,4707.0,1.0,137.0,65.84,2.57,181.35,0.079,0.068,0.17,0.77,0.45,9.35,0.045,6.1,2.34,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1288,684,3.6
5025,31.272781,-103.333178,10698.0,2017,4324.0,6.0,122.0,107.62,2.52,71.34,0.112,0.084,0.24,0.68,0.27,10.31,0.059,7.2,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,772,627,0.9
5026,31.725564,-103.715781,10974.0,2016,9363.0,2.0,136.0,101.44,2.53,111.93,0.105,0.084,0.19,0.72,0.27,11.31,0.063,8.6,3.13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1032,659,2.2
5027,31.978267,-103.704157,11663.0,2019,6859.0,2.0,153.0,88.03,2.57,48.5,0.083,0.066,0.2,0.74,0.6,10.04,0.027,4.1,1.66,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1461,873,3.5
5028,31.5185,-103.655225,10050.0,2019,10331.0,1.0,163.0,96.81,2.56,185.31,0.088,0.07,0.2,0.73,0.23,11.48,0.06,9.8,3.04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2179,646,9.2
5029,31.070866,-103.265291,10633.0,2017,9700.0,2.0,225.0,84.02,2.52,56.17,0.116,0.084,0.23,0.68,0.36,18.83,0.049,11.0,3.14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1566,501,6.4
5030,31.155536,-102.99382,9330.0,2019,5753.0,2.0,180.0,85.16,2.5,32.32,0.121,0.081,0.32,0.59,0.23,14.72,0.061,11.0,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,505,393,0.7
5031,31.486436,-103.184017,11620.0,2021,9201.0,1.0,224.0,91.41,2.51,11.82,0.115,0.069,0.23,0.71,0.56,15.56,0.031,7.0,2.88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,936,796,0.8
5032,31.83873,-103.765615,11259.0,2020,10173.0,3.0,190.0,77.87,2.55,150.44,0.095,0.072,0.19,0.73,0.36,13.74,0.051,9.7,2.45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,836,507,2.0
5034,31.767649,-103.269287,12078.0,2014,4305.0,1.0,131.0,80.36,2.48,59.44,0.135,0.103,0.23,0.66,0.22,13.29,0.084,11.0,3.67,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,340,305,0.2
5035,31.844623,-103.881376,10354.0,2016,7569.0,1.0,153.0,70.78,2.55,103.35,0.091,0.066,0.2,0.72,0.42,10.04,0.039,5.9,2.68,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1409,839,3.4
5036,31.554659,-103.120474,11067.0,2016,4460.0,3.0,143.0,84.59,2.53,104.94,0.108,0.079,0.24,0.66,0.28,11.34,0.049,7.1,3.14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,327,249,0.5
5037,31.999295,-103.629007,12044.0,2018,4631.0,9.0,151.0,87.86,2.57,110.15,0.081,0.065,0.2,0.74,0.6,9.81,0.029,4.5,1.84,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,932,608,1.9
5038,31.971308,-104.085326,8128.0,2013,4511.0,3.0,287.0,79.73,2.57,82.2,0.084,0.069,0.18,0.75,0.32,19.71,0.032,9.2,1.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,444,155,1.7
5039,31.492733,-103.323371,11518.0,2015,4306.0,2.0,217.0,73.99,2.47,52.36,0.137,0.111,0.24,0.65,0.35,24.2,0.074,16.1,3.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,303,249,0.3
5040,31.809744,-103.283296,12296.0,2018,10083.0,3.0,176.0,82.0,2.53,124.01,0.106,0.082,0.23,0.68,0.19,14.45,0.07,12.3,3.42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,958,592,2.2
5041,31.068224,-103.30267,10320.0,2015,4596.0,1.0,158.0,93.95,2.52,46.42,0.117,0.081,0.29,0.64,0.16,12.85,0.067,10.6,3.88,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,935,605,2.0
5042,31.489719,-103.319886,11331.0,2016,4176.0,4.0,178.0,99.13,2.48,105.33,0.134,0.101,0.23,0.66,0.28,17.96,0.079,14.1,3.65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,370,278,0.6
5043,31.605482,-103.553534,11064.0,2017,9162.0,3.0,152.0,87.51,2.55,40.67,0.092,0.072,0.21,0.72,0.28,10.99,0.052,7.9,2.76,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,241,0,1.4
5044,32.15291,-104.234597,9746.0,2018,9895.0,1.0,352.0,98.84,2.54,88.83,0.097,0.075,0.21,0.72,0.41,26.46,0.05,17.5,3.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3387,624,16.6
5045,32.150391,-103.582092,10814.0,2021,7386.0,7.0,410.0,71.25,2.56,50.77,0.089,0.072,0.19,0.73,0.44,29.39,0.039,16.2,2.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1243,868,2.3
5046,32.13819,-104.092202,9663.0,2022,4370.0,3.0,153.0,62.15,2.57,82.29,0.084,0.07,0.15,0.78,0.54,10.72,0.034,5.2,2.03,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,496,222,1.6
5047,32.166075,-103.497236,12377.0,2023,7312.0,6.0,166.0,62.28,2.57,110.98,0.084,0.066,0.17,0.76,0.39,11.16,0.04,6.7,2.26,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1109,802,1.8
5048,31.393913,-103.390259,10763.0,2018,8477.0,6.0,222.0,86.96,2.53,171.65,0.105,0.081,0.22,0.7,0.3,18.02,0.062,13.7,2.88,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,599,388,1.3
5049,31.766237,-103.3254,12217.0,2017,4801.0,5.0,145.0,83.38,2.51,97.56,0.119,0.091,0.23,0.67,0.23,13.25,0.075,10.9,3.62,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,738,611,0.8
5050,31.894729,-103.410464,12303.0,2018,4901.0,1.0,119.0,91.74,2.52,83.94,0.11,0.085,0.22,0.7,0.32,10.11,0.059,7.0,3.28,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,980,762,1.3
5051,31.599346,-103.836394,10583.0,2018,9509.0,3.0,190.0,85.41,2.56,132.35,0.089,0.07,0.2,0.73,0.35,13.49,0.043,8.2,2.39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1608,539,6.4
5052,31.184126,-103.334535,10491.0,2022,10330.0,5.0,135.0,85.08,2.54,183.04,0.101,0.076,0.23,0.69,0.3,10.35,0.058,7.8,4.02,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,343,199,0.9
5053,31.081584,-103.458407,10462.0,2017,5104.0,3.0,160.0,74.73,2.55,146.92,0.095,0.061,0.19,0.75,0.24,9.75,0.049,7.9,2.45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1094,789,1.8
5054,31.172314,-103.493015,10402.0,2013,4741.0,1.0,114.0,105.64,2.55,199.09,0.095,0.074,0.22,0.71,0.22,8.26,0.056,6.4,3.32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,451,366,0.5
5055,31.286501,-103.561428,10326.0,2017,7456.0,2.0,190.0,82.59,2.58,195.92,0.077,0.064,0.17,0.76,0.3,12.13,0.052,9.8,2.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1150,799,2.1
5056,31.144008,-103.221133,10351.0,2018,10201.0,2.0,258.0,87.72,2.52,98.26,0.113,0.081,0.26,0.66,0.18,21.01,0.066,17.2,3.45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,330,330,0.0
5057,31.157277,-103.515617,11026.0,2019,6828.0,3.0,236.0,90.96,2.56,84.5,0.087,0.067,0.21,0.72,0.56,15.72,0.04,9.4,2.88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,887,699,1.1
5058,31.870285,-103.774738,11066.0,2019,4630.0,2.0,160.0,103.38,2.56,132.92,0.089,0.069,0.21,0.72,0.39,10.98,0.043,6.9,2.56,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,941,597,2.1
5059,31.896786,-104.031934,9774.0,2018,10071.0,2.0,153.0,70.93,2.58,169.32,0.077,0.062,0.19,0.75,0.53,9.43,0.036,5.5,2.86,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3930,1754,13.1
5060,31.304637,-103.26211,10718.0,2018,5976.0,3.0,181.0,79.44,2.51,85.2,0.116,0.091,0.19,0.71,0.27,16.52,0.073,13.3,3.36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1190,1057,0.8
5061,31.413345,-103.559685,10279.0,2022,8974.0,1.0,165.0,97.72,2.55,165.58,0.091,0.073,0.21,0.72,0.29,12.04,0.056,9.3,2.98,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,814,545,1.6
5062,31.773175,-103.868997,10600.0,2019,7711.0,2.0,212.0,77.92,2.53,165.63,0.103,0.073,0.19,0.73,0.37,15.51,0.052,11.0,2.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,915,435,2.9
5063,31.186533,-103.458611,10836.0,2020,4391.0,1.0,150.0,84.37,2.53,32.32,0.107,0.085,0.2,0.72,0.52,12.71,0.061,9.2,3.66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,650,453,1.2
5064,31.220593,-103.340176,10651.0,2022,10185.0,1.0,172.0,59.31,2.56,214.17,0.091,0.073,0.18,0.75,0.3,12.58,0.054,9.3,2.32,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,242,0,1.4
5065,31.492188,-103.349245,11272.0,2017,4484.0,2.0,161.0,95.68,2.48,99.7,0.136,0.1,0.23,0.66,0.26,16.12,0.078,12.6,3.88,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1061,785,1.7
5066,31.186569,-103.495558,10487.0,2018,9814.0,6.0,116.0,105.36,2.55,124.45,0.091,0.073,0.21,0.72,0.3,8.4,0.053,6.1,3.05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1307,883,2.5
5067,31.530013,-103.165512,10842.0,2019,9456.0,3.0,662.0,52.82,2.6,671.36,0.066,0.055,0.11,0.83,0.31,36.59,0.04,26.4,1.68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,537,383,0.9
5068,31.7812,-104.080973,9294.0,2018,4397.0,1.0,147.0,71.41,2.56,126.0,0.087,0.07,0.19,0.74,0.39,10.28,0.046,6.7,2.65,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1469,595,5.2
5069,31.060091,-103.039396,10056.0,2018,7128.0,3.0,285.0,84.59,2.5,28.61,0.112,0.092,0.25,0.66,0.31,26.33,0.067,19.0,3.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,540,405,0.8
5070,31.955354,-103.890577,10495.0,2018,4799.0,4.0,149.0,92.48,2.55,96.95,0.092,0.075,0.19,0.73,0.56,11.05,0.031,4.6,2.53,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1113,549,3.4
5071,31.503586,-103.532217,10699.0,2019,9853.0,3.0,286.0,82.98,2.56,72.9,0.087,0.068,0.21,0.72,0.45,19.59,0.046,13.2,2.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1615,718,5.4
5072,31.66612,-103.852807,10834.0,2018,4436.0,4.0,205.0,91.84,2.56,58.67,0.089,0.068,0.24,0.69,0.53,13.92,0.038,7.8,2.74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,814,365,2.7
5073,31.606334,-103.638473,10878.0,2018,4262.0,3.0,127.0,73.93,2.56,145.67,0.086,0.063,0.25,0.69,0.19,8.19,0.052,6.6,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1262,730,3.2
5074,31.972245,-103.603393,12125.0,2019,4916.0,5.0,142.0,94.59,2.57,177.61,0.083,0.063,0.23,0.71,0.5,9.16,0.036,5.1,2.44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,561,436,0.7
5075,31.314842,-103.484453,10511.0,2017,9963.0,5.0,132.0,103.66,2.55,176.14,0.097,0.074,0.22,0.71,0.27,10.06,0.059,7.8,3.19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,640,365,1.6
5076,31.374317,-103.642225,10101.0,2018,7989.0,3.0,155.0,58.24,2.58,142.11,0.073,0.06,0.18,0.76,0.46,9.27,0.038,5.9,2.03,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,970,398,3.4
5077,31.958196,-103.740751,11609.0,2019,4668.0,6.0,176.0,67.93,2.55,73.95,0.083,0.068,0.17,0.76,0.39,11.9,0.042,7.5,1.98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,555,212,2.1
5079,31.315731,-103.33452,10712.0,2015,4163.0,6.0,96.0,105.7,2.5,110.93,0.122,0.095,0.24,0.67,0.16,8.69,0.068,6.6,3.85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,194,1,1.2
5080,31.395897,-103.209728,10928.0,2012,4798.0,2.0,243.0,77.6,2.57,14.11,0.08,0.063,0.23,0.71,0.36,15.38,0.046,11.1,2.91,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,577,478,0.6
5081,31.213516,-103.12556,10638.0,2018,7668.0,1.0,210.0,70.51,2.52,96.37,0.109,0.086,0.2,0.72,0.32,17.99,0.066,13.8,3.16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,950,783,1.0
5082,31.62102,-103.648996,11347.0,2019,5033.0,1.0,329.0,71.86,2.45,45.84,0.149,0.114,0.24,0.64,0.47,37.45,0.053,17.3,2.88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023,637,8.3
5083,31.969287,-103.833892,10217.0,2020,10152.0,3.0,693.0,56.38,2.6,241.45,0.063,0.054,0.14,0.8,0.39,37.11,0.032,21.9,1.55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1900,956,5.7
5084,31.972473,-103.823868,9608.0,2022,15293.0,5.0,472.0,69.32,2.58,58.03,0.074,0.062,0.17,0.77,0.31,29.28,0.038,17.8,1.77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,837,403,2.6
5085,31.955917,-104.172391,7538.0,2016,4705.0,5.0,318.0,79.57,2.59,45.97,0.072,0.06,0.18,0.76,0.31,19.07,0.029,9.1,1.99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,962,264,4.2
5086,31.870069,-103.698628,11681.0,2017,4861.0,2.0,184.0,76.53,2.55,190.42,0.089,0.068,0.2,0.73,0.34,12.58,0.05,9.2,2.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,949,600,2.1
5087,31.68036,-103.974878,9747.0,2017,4834.0,1.0,107.0,93.83,2.56,130.05,0.093,0.074,0.2,0.73,0.28,7.92,0.056,5.9,3.14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1220,528,4.2
5088,31.696872,-103.250347,11920.0,2020,9680.0,3.0,124.0,91.67,2.5,169.71,0.122,0.099,0.2,0.7,0.27,12.26,0.078,9.7,3.46,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,509,424,0.5
5089,31.840911,-103.972538,9740.0,2021,9719.0,5.0,165.0,90.17,2.55,96.86,0.088,0.065,0.18,0.72,0.43,10.76,0.036,6.0,2.91,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1683,575,6.6
5090,31.172211,-103.419885,10557.0,2021,10257.0,4.0,190.0,80.19,2.55,79.13,0.096,0.078,0.19,0.74,0.31,14.81,0.058,10.9,2.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1151,856,1.8
5091,31.152758,-103.467851,10565.0,2022,13187.0,3.0,173.0,77.48,2.56,135.52,0.088,0.07,0.17,0.75,0.34,12.2,0.048,8.3,2.21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1477,1076,2.4
5092,31.666023,-103.884061,10321.0,2018,4353.0,6.0,169.0,101.84,2.56,148.33,0.091,0.074,0.18,0.75,0.28,12.56,0.056,9.4,2.96,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,844,311,3.2
5093,31.608552,-103.656934,10870.0,2019,10130.0,6.0,119.0,82.79,2.56,166.97,0.088,0.066,0.24,0.69,0.18,7.97,0.054,6.4,2.71,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2040,736,7.8
5094,31.869696,-103.497792,11987.0,2021,6762.0,3.0,118.0,96.8,2.52,128.03,0.113,0.09,0.2,0.71,0.3,10.48,0.056,6.7,3.02,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,843,528,1.9
5095,31.167599,-103.551192,10283.0,2018,9166.0,3.0,104.0,98.45,2.57,203.33,0.083,0.062,0.22,0.71,0.33,6.78,0.045,4.6,2.96,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,813,633,1.1
5096,31.157084,-103.441795,10621.0,2017,4317.0,2.0,183.0,74.71,2.55,108.14,0.094,0.075,0.2,0.73,0.31,13.71,0.057,10.3,2.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,830,679,0.9
5097,31.709636,-103.74373,10883.0,2017,9570.0,4.0,150.0,93.11,2.55,91.53,0.095,0.075,0.2,0.72,0.28,11.28,0.057,8.6,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1467,916,3.3
5098,31.672991,-104.219247,8414.0,2018,8931.0,1.0,134.0,67.8,2.52,59.94,0.1,0.088,0.21,0.73,0.66,11.85,0.024,3.2,1.72,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1104,282,4.9
5099,31.722047,-103.574704,11136.0,2021,4770.0,2.0,114.0,57.87,2.49,86.01,0.122,0.1,0.2,0.7,0.29,11.36,0.077,8.8,3.53,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,430,282,0.9
5100,31.96991,-103.869015,9277.0,2022,10381.0,3.0,419.0,71.38,2.57,47.87,0.082,0.067,0.15,0.78,0.34,27.91,0.04,16.7,1.75,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1863,745,6.7
5101,31.979348,-103.745668,11448.0,2017,7382.0,7.0,155.0,90.06,2.55,45.3,0.092,0.072,0.21,0.72,0.5,11.03,0.036,5.5,2.17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1213,570,3.9
5102,31.26492,-103.184129,9305.0,2018,7677.0,2.0,331.0,60.7,2.57,422.03,0.081,0.066,0.16,0.77,0.3,21.86,0.07,23.2,2.56,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,773,613,1.0
5103,31.910527,-103.467839,12768.0,2017,4832.0,1.0,268.0,89.32,2.47,42.78,0.139,0.113,0.22,0.67,0.71,30.4,0.027,7.3,2.93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,687,555,0.8
5104,31.35568,-103.602493,9960.0,2018,4595.0,1.0,245.0,72.17,2.6,29.91,0.064,0.052,0.21,0.74,0.26,12.72,0.025,6.0,1.94,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,475,235,1.4
5105,31.320161,-103.658815,10007.0,2018,4467.0,4.0,194.0,72.3,2.59,248.16,0.076,0.065,0.14,0.8,0.44,12.52,0.039,7.6,1.74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,306,139,1.0
5106,31.920719,-103.835,10728.0,2020,7493.0,3.0,158.0,90.9,2.56,99.07,0.089,0.069,0.2,0.72,0.43,10.98,0.039,6.2,2.53,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,960,533,2.6
5107,31.557042,-103.14701,11337.0,2021,10311.0,3.0,145.0,97.49,2.54,99.0,0.101,0.076,0.25,0.65,0.28,11.02,0.055,7.9,3.33,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,939,616,1.9
5108,32.152429,-104.005179,8629.0,2015,6536.0,4.0,408.0,62.26,2.58,77.1,0.075,0.063,0.16,0.78,0.47,25.89,0.029,11.8,1.12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1860,1172,4.1
5109,32.197842,-104.059764,10797.0,2018,7281.0,2.0,275.0,86.51,2.54,64.62,0.102,0.073,0.25,0.66,0.42,20.12,0.048,13.1,3.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1981,654,8.0
5110,32.254273,-104.018488,10899.0,2023,9725.0,2.0,272.0,100.87,2.56,110.32,0.085,0.065,0.24,0.7,0.55,17.79,0.013,3.6,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5126,900,25.4
5111,31.665927,-103.354861,11731.0,2022,9560.0,4.0,93.0,92.96,2.5,105.1,0.124,0.1,0.23,0.68,0.35,9.0,0.082,7.6,3.75,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,985,737,1.5
5112,31.666023,-103.883966,10635.0,2018,4479.0,5.0,218.0,86.98,2.57,158.74,0.084,0.069,0.18,0.76,0.38,15.03,0.047,10.3,2.49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1146,289,5.1
5113,31.83592,-103.468994,12081.0,2018,4502.0,3.0,152.0,74.84,2.54,121.17,0.098,0.076,0.21,0.71,0.3,11.79,0.055,8.4,2.97,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,425,365,0.4
5114,31.375311,-103.395703,11125.0,2019,7034.0,3.0,199.0,74.6,2.55,80.57,0.096,0.075,0.21,0.73,0.6,14.83,0.031,6.2,2.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,664,384,1.7
5115,31.445786,-103.1989,10859.0,2019,7772.0,1.0,737.0,52.5,2.57,387.58,0.078,0.068,0.11,0.83,0.35,50.35,0.042,30.6,1.81,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,856,685,1.0
5117,31.261093,-103.535151,10326.0,2020,7568.0,5.0,122.0,99.79,2.55,127.81,0.093,0.071,0.22,0.72,0.2,8.84,0.058,7.0,3.22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,886,628,1.5
5118,31.896731,-104.032338,9739.0,2022,9855.0,2.0,182.0,69.93,2.56,132.49,0.09,0.072,0.18,0.74,0.51,13.11,0.039,7.1,2.78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1960,861,6.6
5119,31.625729,-104.016527,9885.0,2019,10108.0,1.0,221.0,91.53,2.55,42.31,0.091,0.072,0.23,0.7,0.43,15.85,0.051,11.4,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2681,442,13.4
5120,31.428925,-103.429212,10610.0,2019,10569.0,1.0,159.0,103.42,2.54,125.25,0.103,0.08,0.23,0.69,0.31,12.63,0.055,8.8,3.45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,790,418,2.2
5121,31.336917,-103.647907,9924.0,2022,5897.0,4.0,120.0,92.89,2.56,198.09,0.091,0.072,0.2,0.72,0.27,8.43,0.056,6.7,2.78,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,775,445,2.0
5122,31.255164,-103.33783,10754.0,2018,4640.0,3.0,127.0,106.25,2.52,70.58,0.113,0.086,0.24,0.67,0.29,10.68,0.057,7.2,3.73,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,545,545,0.0
